ace As
child CIld
chill Cil
chime CIm
chin Cin
chip Cip
chive CIv
choice CYs
choir kwIr
choke COk
chomp Camp
choose CUz
chop Cap
chord kOrd
chore COr
chose COz
chow CW
christ krIst
chrome krOm
chuck C^k
chum C^m
chump C^mp
chunk C^Nk
church CurC
churn Curn
chute SUt
cinch sinC
cite sIt
clad kl@d
claim klAm
clam kl@m
clamp kl@mp
clan kl@n
clang kl@N
clap kl@p
clash kl@S
class kl@s
clause kloz
claw klo
clay klA
clean klEn
clear klEr
cleat klEt
cleft kleft
clench klenC
clerk klurk
click klik
cliff klif
climb klIm
clinch klinC
cling kliN
clink kliNk
clip klip
cloak klOk
clock klak
clod klad
clog klog
clone klOn
clop klap
close klOs
clot klat
cloth kloT
clothe klOD
clots klats
cloud klWd
clout klWt
clove klOv
clown klWn
club kl^b
cluck kl^k
clue klU
clump kl^mp
clung kl^N
clutch kl^C
coach kOC
coal kOl
coarse kOrs
coast kOst
coat kOt
coax kOks
cock kak
cod kad
code kOd
coil kYl
coin kYn
coke kOk
cold kOld
cole kOl
colt kOlt
comb kOm
come k^m
con kan
cone kOn
cook kuk
cool kUl
coop kUp
cop kap
cope kOp
cord kOrd
core kOr
cork kOrk
corn kOrn
corps kOr
corpse kOrps
cost kost
cot kat
couch kWC
cough kof
could kud
count kWnt
coup kU
coupe kUp
course kOrs
court kOrt
cove kOv
cow kW
cowl kWl
cox kaks
coy kY
crab kr@b
crack kr@k
craft kr@ft
crag kr@g
cram kr@m
cramp kr@mp
crane krAn
crank kr@Nk
crap kr@p
crash kr@S
crass kr@s
crate krAt
crave krAv
crawl krol
craze krAz
creak krEk
cream krEm
crease krEs
creche kreS
creed krEd
creek krEk
creep krEp
crepe krAp
crept krept
crest krest
crew krU
crib krib
crime krIm
crisp krisp
croak krOk
crock krak
crone krOn
crook kruk
croon krUn
crop krap
cross kros
crouch krWC
crow krO
crowd krWd
crown krWn
crude krUd
cruise krUz
crumb kr^m
crunch kr^nC
crush kr^S
crust kr^st
crutch kr^C
crux kr^ks
cry krI
crypt kript
cub k^b
cube kyUb
cud k^d
cue kyU
cuff k^f
cull k^l
cult k^lt
cup k^p
cur kur
curb kurb
curd kurd
cure kyur
curl kurl
curse kurs
curt kurt
curve kurv
cusp k^sp
cut k^t
cute kyUt
cyst sist
czar zar
dad d@d
dale dAl
dam d@m
dame dAm
damn d@m
damp d@mp
dance d@ns
dane dAn
dang d@N
dank d@Nk
dare dAr
dark dark
darn darn
dart dart
dash d@S
date dAt
daunt dont
dawn don
day dA
days dAz
daze dAz
dead ded
deaf def
deal dEl
dealt delt
dean dEn
dear dEr
dearth durT
death deT
debt det
deck dek
deed dEd
deem dEm
deep dEp
deer dEr
deft deft
dell del
den den
dense dens
dent dent
depth depT
desk desk
dew dU
dial dIl
dice dIs
dick dik
did did
die dI
died dId
dig dig
dike dIk
dill dil
dim dim
dime dIm
din din
dine dIn
dint dint
dip dip
dire dIr
dirge durj
dirt durt
disc disk
dish diS
disk disk
ditch diC
dive dIv
do dU
dock dak
dodge daj
doe dO
does d^z
dog dog
dole dOl
doll dal
dome dOm
done d^n
doom dUm
door dOr
dope dOp
dork dOrk
dorm dOrm
dose dOs
dost d^st
dot dat
dots dats
doubt dWt
dough dO
dour dWr
douse dWs
dove dOv
dove d^v
dow dW
down dWn
drab dr@b
draft dr@ft
drag dr@g
drain drAn
drake drAk
dram dr@m
drank dr@Nk
drape drAp
draught dr@ft
draw dro
drawl drol
drawn dron
dread dred
dream drEm
dreamt dremt
dress dres
drew drU
dried drId
drift drift
drill dril
drink driNk
drip drip
drive drIv
drone drOn
drool drUl
droop drUp
drop drap
dross dros
drought drWt
drove drOv
drown drWn
drugs dr^gz
drum dr^m
drunk dr^Nk
dry drI
dub d^b
duck d^k
duct d^kt
dud d^d
due dU
duel dUl
dug d^g
duke dUk
dull d^l
dumb d^m
dump d^mp
dun d^n
dune dUn
dung d^N
dunk d^Nk
dusk d^sk
dust d^st
dwarf dwOrf
dwell dwel
dwelt dwelt
dyke dIk
each EC
ear Er
earl url
earn urn
earth urT
ease Ez
east Est
eat Et
eave Ev
ebb eb
edge ej
eel El
egg eg
eight At
eighth AtT
elk elk
elm elm
else els
end end
err ur
eve Ev
ewe yU
face fAs
fact f@kt
fad f@d
fade fAd
fail fAl
faint fAnt
fair fAr
faith fAT
fake fAk
fall fol
false fols
fame fAm
fan f@n
fang f@N
far far
farce fars
fare fAr
farm farm
fast f@st
fat f@t
fate fAt
fault folt
fawn fon
fay fA
faze fAz
fear fEr
feast fEst
feat fEt
fed fed
fee fE
feed fEd
feel fEl
feet fEt
feint fAnt
fell fel
felt felt
fen fen
fence fens
fend fend
fern furn
fetch feC
fete fet
feud fyUd
few fyU
fiche fES
field fEld
fiend fEnd
fierce fErs
fife fIf
fifth fifT
fig fig
fight fIt
file fIl
fill fil
film film
filth filT
fin fin
find fInd
fine fIn
fink fiNk
fir fur
fire fIr
firm furm
first furst
fish fiS
fist fist
fit fit
five fIv
fix fiks
fixed fikst
flack fl@k
flag fl@g
flail flAl
flair flAr
flake flAk
flame flAm
flange fl@nj
flank fl@Nk
flare flAr
flash fl@S
flask fl@sk
flat fl@t
flaunt flont
flaw flo
flax fl@ks
flays flAz
flea flE
fleck flek
fled fled
flee flE
fleet flEt
flesh fleS
flew flU
flex fleks
flick flik
flight flIt
fling fliN
flint flint
flip flip
flirt flurt
float flOt
flock flak
floe flO
flog flog
flood fl^d
floor flOr
flop flap
floss flos
flour flWr
flow flO
flown flOn
flu flU
fluff fl^f
fluke flUk
flung fl^N
flush fl^S
flute flUt
flux fl^ks
fly flI
foal fOl
foam fOm
foe fO
fog fog
foil fYl
foist fYst
fold fOld
folk fOk
fond fand
font fant
food fUd
fool fUl
foot fut
for fOr
force fOrs
ford fOrd
fore fOr
forge fOrj
fork fOrk
form fOrm
fort fOrt
forth fOrT
fought fot
foul fWl
found fWnd
four fOr
fourth fOrT
fowl fWl
fox faks
frail frAl
frame frAm
frank fr@Nk
frappe fr@p
fraud frod
fray frA
freak frEk
free frE
freed frEd
freeze frEz
freight frAt
french frenC
fresh freS
fret fret
fried frId
friend frend
frieze frEz
fright frIt
frill fril
fringe frinj
frock frak
frog frog
from fr^m
front fr^nt
frost frost
froth froT
frown frWn
froze frOz
fruit frUt
frump fr^mp
fry frI
fuck f^k
fuel fyUl
full ful
fun f^n
fund f^nd
funk f^Nk
fur fur
fuse fyUz
fuss f^s
fuzz f^z
gab g@b
gag g@g
gage gAj
gain gAn
gait gAt
gal g@l
gale gAl
gall gol
game gAm
gang g@N
gap g@p
gape gAp
garb garb
gas g@s
gash g@S
gasp g@sp
gate gAt
gauche gOS
gauge gAj
gaunt gont
gauze goz
gave gAv
gay gA
gaze gAz
gear gEr
gee jE
geese gEs
gel jel
gem jem
gene jEn
gent jent
germs jurms
get get
ghost gOst
ghoul gUl
gibe jIb
gift gift
gig gig
gill gil
gilt gilt
gin jin
gird gurd
girl gurl
girth gurT
gist jist
git git
give giv
glad gl@d
glade glAd
glance gl@ns
gland gl@nd
glare glAr
glass gl@s
glaze glAz
gleam glEm
glean glEn
glee glE
glen glen
glib glib
glide glId
glimpse glimps
glint glint
glitch gliC
gloat glOt
globe glOb
gloom glUm
gloss glos
glove gl^v
glow glO
glue glU
glum gl^m
gnaw no
gnome nOm
go gO
goad gOd
goal gOl
goat gOt
gob gab
god gad
goes gOz
gold gOld
golf golf
gone gon
gong goN
good gud
goon gUn
goose gUs
gore gOr
gorge gOrj
gosh gaS
got gat
gouge gWj
gourd gOrd
gout gWt
gown gWn
grab gr@b
grace grAs
grad gr@d
grade grAd
graft gr@ft
grail grAl
grain grAn
gram gr@m
grand gr@nd
grant gr@nt
grape grAp
graph gr@f
grasp gr@sp
grass gr@s
grate grAt
grave grAv
gray grA
grays grAz
graze grAz
grease grEs
great grAt
greed grEd
green grEn
greet grEt
grew grU
grey grA
grid grid
grief grEf
grill gril
grille gril
grim grim
grime grIm
grin grin
grind grInd
grip grip
gripe grIp
grist grist
grit grit
groan grOn
groat grOt
groin grYn
groom grUm
groove grUv
grope grOp
gross grOs
grouch grWC
ground grWnd
group grUp
grouse grWs
grout grWt
grove grOv
grow grO
growl grWl
grown grOn
growth grOT
grub gr^b
grudge gr^j
gruff gr^f
grunt gr^nt
guard gard
guess ges
guest gest
guide gId
guild gild
guile gIl
guilt gilt
guise gIz
gulf g^lf
gull g^l
gulp g^lp
gum g^m
gun g^n
gunk g^Nk
gush g^S
gust g^st
gut g^t
guy gI
gym jim
gyp jip
hack h@k
had h@d
hag h@g
hail hAl
hair hAr
hale hAl
half h@f
hall hol
halt holt
halve h@v
ham h@m
hand h@nd
hang h@N
hank h@Nk
hard hard
hare hAr
hark hark
harm harm
harp harp
harsh harS
hart hart
has h@z
hash h@S
hasp h@sp
haste hAst
hat h@t
hatch h@C
hate hAt
hath h@T
haul hol
haunt hont
have h@v
haw ho
hawk hok
hay hA
haze hAz
head hed
heal hEl
health helT
heap hEp
hear hEr
heard hurd
hearse hurs
heart hart
hearth harT
heat hEt
heave hEv
heck hek
hedge hej
heed hEd
heel hEl
height hIt
heir Ar
held held
hell hel
helm helm
help help
hem hem
hen hen
hence hens
her hur
herb urb
herd hurd
here hEr
hers hurs
hex heks
hey hA
hick hik
hid hid
hide hId
high hI
hike hIk
hill hil
hilt hilt
him him
hind hInd
hinge hinj
hint hint
hip hip
hire hIr
his hiz
hiss his
hit hit
hitch hiC
hive hIv
hoarse hOrs
hob hab
hoc hak
hoe hO
hog hog
hoist hYst
hold hOld
hole hOl
home hOm
hone hOn
hooch hUC
hood hud
hoof huf
hook huk
hoop hUp
hoot hUt
hop hap
hope hOp
hops haps
horn hOrn
horse hOrs
hose hOz
host hOst
hot hat
hound hWnd
hour Wr
house hWs
house hWz
how hW
howl hWl
hub h^b
huck h^k
hue hyU
huff h^f
hug h^g
huge hyUj
huh h^
hulk h^lk
hull h^l
hum h^m
hump h^mp
hunch h^nC
hung h^N
hunk h^Nk
hunt h^nt
hurl hurl
hurt hurt
hush h^S
hut h^t
hymn him
ice Is
ill il
inch inC
ink iNk
inn in
ire Ir
isle Il
itch iC
its its
jab j@b
jack j@k
jade jAd
jag j@g
jail jAl
jam j@m
jape jAp
jar jar
jaw jo
jay jA
jays jAz
jazz j@z
jean jEn
jeans jEnz
jeep jEp
jeer jEr
jell jel
jerk jurk
jest jest
jet jet
jew jU
jig jig
jilt jilt
jinx jiNks
jive jIv
job jab
jock jak
jog jag
join jYn
joint jYnt
joke jOk
jolt jOlt
jot jat
joust jWst
jowl jWl
joy jY
judge j^j
jug j^g
juice jUs
juke jUk
jump j^mp
june jUn
junk j^Nk
just j^st
jut j^t
jute jUt
kale kAl
keel kEl
keen kEn
keep kEp
keg keg
kelp kelp
ken ken
kept kept
key kE
kick kik
kid kid
kill kil
kilt kilt
kin kin
kind kInd
king kiN
kiss kis
kit kit
kite kIt
klan kl@n
knack n@k
knead nEd
knee nE
kneel nEl
knelt nelt
knew nU
knife nIf
knight nIt
knit nit
knob nab
knock nak
knoll nOl
knot nat
know nO
known nOn
lab l@b
lace lAs
lack l@k
lad l@d
lag l@g
laid lAd
lain lAn
lake lAk
lamb l@m
lame lAm
lamp l@mp
lance l@ns
land l@nd
lane lAn
lap l@p
laps l@ps
lapse l@ps
lard lard
large larj
lark lark
lash l@S
lass l@s
last l@st
latch l@C
late lAt
lath l@T
lathe lAD
laugh l@f
launch lonC
law lo
lawn lon
lax l@ks
lay lA
lays lAz
laze lAz
leach lEC
lead lEd
lead led
leaf lEf
leak lEk
lean lEn
leap lEp
leapt lept
lear lEr
learn lurn
lease lEs
leash lES
least lEst
leave lEv
led led
ledge lej
lee lE
leek lEk
leer lEr
left left
leg leg
lend lend
length leNT
lens lenz
lent lent
less les
lest lest
let let
letch leC
lewd lUd
lice lIs
lick lik
lid lid
lie lI
lied lId
lien lEn
life lIf
lift lift
light lIt
like lIk
lilt lilt
limb lim
lime lIm
limp limp
line lIn
link liNk
lint lint
lip lip
lisle lIl
list list
lit lit
lithe lID
live lIv
live liv
load lOd
loaf lOf
loan lOn
loath lOT
lob lab
lobe lOb
lock lak
lode lOd
lodge laj
loft loft
log log
loin lYn
lone lOn
long loN
look luk
loom lUm
loon lUn
loop lUp
loose lUs
loot lUt
lop lap
lope lOp
lord lOrd
lore lOr
lose lUz
loss los
lost lost
lot lat
loud lWd
lounge lonj
loupe lUp
louse lWs
love l^v
low lO
lox laks
luck l^k
lug l^g
lull l^l
lump l^mp
lunch l^nC
lung l^N
lurch lurC
lure lUr
lurk lurk
lush l^S
lust l^st
lute lUt
lye lI
lymph limf
lynch linC
mace mAs
mad m@d
made mAd
maid mAd
mail mAl
maim mAm
main mAn
make mAk
makes mAks
male mAl
mall mol
malt molt
man m@n
mane mAn
manse m@ns
map m@p
mar mar
march marC
mare mAr
mark mark
marsh marS
mart mart
mash m@S
mask m@sk
mass m@s
mast m@st
mat m@t
match m@C
mate mAt
math m@T
mauve mOv
maw mo
max m@ks
may mA
maze mAz
me mE
mead mEd
meal mEl
mean mEn
meant ment
meat mEt
meek mEk
meet mEt
meld meld
melt melt
men men
mend mend
mere mEr
merge murj
mesh meS
mess mes
met met
mew myU
mice mIs
mid mid
midst midst
mig mig
might mIt
mike mIk
mil mil
mild mIld
mile mIl
milk milk
mill mil
mime mIm
mince mins
mind mInd
mine mIn
mink miNk
mint mint
mirth murT
miss mis
mist mist
mite mIt
mitt mit
mix miks
moan mOn
moat mOt
mob mab
mock mak
mode mOd
moist mYst
mold mOld
mole mOl
moll mal
mom mam
monk m^Nk
month m^nT
moo mU
mood mUd
moon mUn
moose mUs
moot mUt
mop map
mope mOp
more mOr
morn mOrn
mosk mask
moss mos
most mOst
moth moT
mould mOld
mount mWnt
mourn mOrn
mouse mWs
mouth mWT
move mUv
mow mO
much m^C
muck m^k
mud m^d
muff m^f
mug m^g
mulch m^lC
mule myUl
mum m^m
munch m^nC
muse myUs
mush m^S
muss m^s
must m^st
mute myUt
myth miT
nab n@b
nail nAl
name nAm
nap n@p
nape nAp
naught not
naw no
nay nA
near nEr
neat nEt
neck nek
need nEd
needs nEdz
nerve nurv
nest nest
net net
new nU
news nUz
newt nUt
next nekst
nice nIs
niche nES
nick nik
nicks niks
niece nEs
nigh nI
night nIt
nil nil
nine nIn
ninth nInT
nip nip
nix niks
no nO
nod nad
node nOd
noise nYz
non nan
nonce nans
none n^n
nook nuk
noon nUn
noose nUs
nope nOp
nor nOr
norm nOrm
north nOrT
nose nOz
not nat
notch naC
note nOt
noun nWn
now nW
nude nUd
nudge n^j
null n^l
numb n^m
nun n^n
nurse nurs
nut n^t
nymph nimf
oak Ok
oat Ot
oath OT
odd ad
off of
oft oft
oil Yl
old Old
ole Ol
once w^ns
one w^n
oops Ups
ooze Uz
orb Orb
ore Or
ouch WC
ought ot
ounce Wns
our Wr
oust Wst
out Wt
owl Wl
own On
pace pAs
pack p@k
pact p@kt
pad p@d
page pAj
paid pAd
pail pAl
pain pAn
paint pAnt
pair pAr
pal p@l
pale pAl
pall pol
palm pam
pan p@n
pane pAn
pang p@N
pant p@nt
pants p@nts
pap p@p
par par
pare pAr
park park
part part
pass p@s
past p@st
paste pAst
pat p@t
patch p@C
pate pAt
path p@T
paunch ponC
pause poz
pave pAv
paw po
pawn pon
pay pA
pea pE
peace pEs
peach pEC
peak pEk
peal pEl
pear pAr
pearl purl
peat pEt
peck pek
pee pE
peek pEk
peel pEl
peep pEp
peer pEr
peg peg
pelt pelt
pen pen
per pur
perch purC
perk purk
pert purt
pest pest
pet pet
pew pyU
phage fAj
phase fAz
phone fOn
phrase frAz
pick pik
pie pI
piece pEs
pier pEr
pierce pErs
pig pig
pike pIk
pile pIl
pill pil
pimp pimp
pin pin
pinch pinC
pine pIn
pink piNk
pint pInt
pip pip
pipe pIp
piss pis
pit pit
pitch piC
pith piT
place plAs
plaid pl@d
plain plAn
plan pl@n
plane plAn
plank pl@Nk
plant pl@nt
plate plAt
play plA
plea plE
plead plEd
please plEz
pleat plEt
pledge plej
plight plIt
plod plad
plot plat
plough plW
plow plW
pluck pl^k
plug pl^g
plum pl^m
plumb pl^m
plume plUm
plump pl^mp
plunge pl^nj
plus pl^s
plush pl^S
poach pOC
pod pad
point pYnt
poise pYz
poke pOk
pole pOl
poll pOl
pomp pamp
pond pand
pons panz
pool pUl
poor pOr
pop pap
pope pOp
porch pOrC
pore pOr
pork pOrk
porn pOrn
port pOrt
pose pOz
posh paS
post pOst
pot pat
pouch pWC
pound pWnd
pour pOr
pout pWt
praise prAz
pram pr@m
prank pr@Nk
pray prA
preach prEC
prep prep
press pres
prey prA
price prIs
prick prik
pride prId
pried prId
priest prEst
prim prim
prime prIm
prince prins
print print
prize prIz
pro prO
probe prOb
prod prad
prompt prampt
prone prOn
proof prUf
prop prap
prose prOz
proud prWd
prove prUv
prow prW
prowl prWl
prune prUn
pry prI
psalm sam
pub p^b
puck p^k
puff p^f
puke pyUk
pull pul
pulp p^lp
pulse p^ls
pump p^mp
pun p^n
punch p^nC
punk p^Nk
punt p^nt
pup p^p
pure pyur
purge purj
purse purs
pus p^s
push puS
put put
putt p^t
pyre pIr
quack kw@k
quail kwAl
quaint kwAnt
quake kwAk
qualms kwalmz
quart kwOrt
quartz kwOrts
quay kwA
queen kwEn
queer kwEr
quell kwel
quench kwenC
quest kwest
queue kyU
quick kwik
quill kwil
quilt kwilt
quince kwins
quirk kwurk
quit kwit
quite kwIt
quiz kwiz
quo kwO
quote kwOt
race rAs
rack r@k
raft r@ft
rag r@g
rage rAj
raid rAd
rail rAl
rain rAn
raise rAz
rake rAk
ram r@m
ramp r@mp
ran r@n
ranch r@nC
rang r@N
range rAnj
rank r@Nk
rant r@nt
rap r@p
rape rAp
rapt r@pt
rare rAr
rash r@S
rasp r@sp
rat r@t
rate rAt
rave rAv
raw ro
ray rA
rays rAz
raze rAz
reach rEC
read rEd
read red
real rEl
realm relm
ream rEm
reap rEp
rear rEr
red red
reed rEd
reef rEf
reek rEk
reel rEl
ref ref
reign rAn
rein rAn
rend rend
rent rent
rest rest
retch reC
rev rev
rheum rUm
rhyme rIm
rib rib
rice rIs
rich riC
ride rId
ridge rij
rift rift
rig rig
right rIt
rile rIl
rim rim
rime rIm
rind rInd
ring riN
rink riNk
rinse rins
rip rip
ripe rIp
rise rIz
risk risk
rite rIt
roach rOC
road rOd
roam rOm
roar rOr
roast rOst
rob rab
robe rOb
rock rak
rod rad
rode rOd
roe rO
role rOl
roll rOl
rolled rOld
rome rOm
romp ramp
roof rUf
rook ruk
room rUm
roost rUst
root rUt
rope rOp
rose rOz
rot rat
rouge rUZ
rough r^f
round rWnd
rouse rWz
rout rWt
route rUt
route rWt
rove rOv
row rO
row rW
rub r^b
rude rUd
rue rU
rug r^g
rule rUl
rum r^m
rump r^mp
run r^n
rung r^N
runt r^nt
ruse rUs
rush r^S
rust r^st
rut r^t
rye rI
sack s@k
sad s@d
safe sAf
sag s@g
sage sAj
said sed
sail sAl
saint sAnt
sake sAk
sale sAl
salt solt
salve s@v
same sAm
sand s@nd
sane sAn
sang s@N
sank s@Nk
sap s@p
sash s@S
sat s@t
sauce sos
sauve sOv
save sAv
saw so
sax s@ks
say sA
says sez
scald skold
scale skAl
scalp sk@lp
scan sk@n
scant sk@nt
scar skar
scarce skArs
scare skAr
scarf skarf
scene sEn
scent sent
scheme skEm
schnook Snuk
school skUl
scold skOld
scone skOn
scoop skUp
scope skOp
score skOr
scorn skOrn
scotch skaC
scour skWr
scourge skurj
scout skWt
scrap skr@p
scrape skrAp
scratch skr@C
scream skrEm
screech skrEC
screen skrEn
screw skrU
scribe skrIb
scrim skrim
script skript
scroll skrOl
scrub skr^b
scuff sk^f
sea sE
seal sEl
seam sEm
sear sEr
search surC
seat sEt
sect sekt
see sE
seed sEd
seeds sEdz
seek sEk
seem sEm
seen sEn
seep sEp
seize sEz
self self
sell sel
send send
sense sens
sent sent
serf surf
serge surj
serve surv
set set
sew sO
sewn sOn
sex seks
shack S@k
shade SAd
shaft S@ft
shag S@g
shah Sa
shake SAk
shall S@l
sham S@m
shame SAm
shank S@Nk
shape SAp
shard Sard
share SAr
shark Sark
sharp Sarp
shave SAv
shawl Sol
shay SA
she SE
sheaf SEf
shear SEr
sheath SET
shed Sed
sheen SEn
sheep SEp
sheer SEr
sheet SEt
sheik SEk
shelf Self
shell Sel
shield SEld
shift Sift
shill Sil
shim Sim
shin Sin
shine SIn
ship Sip
ships Sips
shirt Surt
shit Sit
shoal SOl
shock Sak
shod Sad
shoe SU
shone SOn
shook Suk
shoot SUt
shop Sap
shore SOr
short SOrt
shot Sat
should Sud
shout SWt
shove S^v
show SO
shown SOn
shrank Sr@Nk
shred Sred
shrewd SrUd
shriek SrEk
shrill Sril
shrimp Srimp
shrine SrIn
shrink SriNk
shroud SrWd
shrub Sr^b
shrug Sr^g
shuck S^k
shun S^n
shunt S^nt
shush S^S
shut S^t
shy SI
sick sik
side sId
siege sEj
sieve siv
sift sift
sigh sI
sight sIt
sign sIn
silk silk
sill sil
silt silt
sin sin
since sins
sine sIn
sing siN
sink siNk
sioux sU
sip sip
sir sur
sit sit
site sIt
six siks
sixth siksT
size sIz
skate skAt
skeet skEt
sketch skeC
ski skE
skid skid
skiff skif
skill skil
skin skin
skip skip
skirt skurt
skit skit
skulk sk^lk
skull sk^l
skunk sk^Nk
sky skI
slab sl@b
slack sl@k
slain slAn
slam sl@m
slang sl@N
slant sl@nt
slap sl@p
slash sl@S
slat sl@t
slate slAt
slave slAv
slay slA
sleek slEk
sleep slEp
sleet slEt
sleeve slEv
sleight slIt
slept slept
slice slIs
slick slik
slid slid
slide slId
slight slIt
slim slim
slime slIm
sling sliN
slip slip
slit slit
slob slab
sloe slO
sloop slUp
slop slap
slope slOp
slot slat
slouch slWC
slough sl^f
slow slO
sludge sl^j
slug sl^g
sluice slUs
slum sl^m
slump sl^mp
slung sl^N
sly slI
smack sm@k
small smol
smart smart
smash sm@S
smear smEr
smell smel
smelt smelt
smile smIl
smirk smurk
smock smak
smog smog
smoke smOk
smooth smUD
smug sm^g
snack sn@k
snag sn@g
snail snAl
snake snAk
snap sn@p
snare snAr
snatch sn@C
sneak snEk
sneer snEr
sniff snif
snip snip
snob snab
snoop snUp
snoot snUt
snort snOrt
snout snWt
snow snO
snub sn^b
snuck sn^k
snuff sn^f
snug sn^g
soak sOk
soap sOp
sob sab
sock sak
sod sad
soft soft
soils sYlz
sold sOld
sole sOl
solve salv
some s^m
son s^n
song soN
soon sUn
soot sut
sooth sUT
soothe sUD
sop sap
sore sOr
sort sOrt
sought sot
soul sOl
sound sWnd
soup sUp
sour sWr
source sOrs
souse sWs
south sWT
sow sO
sow sW
sown sOn
sox saks
soy sY
spa spa
space spAs
spade spAd
span sp@n
spank sp@Nk
spare spAr
spark spark
sparse spars
spat sp@t
spate spAt
speak spEk
spear spEr
speck spek
sped sped
speech spEC
speed spEd
spell spel
spend spend
spent spent
sphere sfEr
sphinx sfiNks
spice spIs
spike spIk
spill spil
spilt spilt
spin spin
spine spIn
spire spIr
spit spit
spite spIt
splash spl@S
splat spl@t
spleen splEn
splice splIs
splint splint
split split
splurge splurj
spoil spYl
spoke spOk
sponge sp^nj
spoof spUf
spook spUk
spool spUl
spoon spUn
sport spOrt
spot spat
spouse spWs
spout spWt
sprain sprAn
sprang spr@N
sprawl sprol
spray sprA
spread spred
spree sprE
sprig sprig
spring spriN
sprint sprint
sprite sprIt
sprout sprWt
spruce sprUs
sprung spr^N
spun sp^n
spur spur
spurt spurt
spy spI
squad skwad
squall skwol
